object_category,pair_ix,split,FirstRoundCardIndex,Round1,Round2,Round3,Round4
baskets,25,train,Card3,"handles left to right, looks like bottom is dark if you could look inside it","handle, black bottom","black bottom, handle left to right",black bottom
baskets,25,train,Card4,"absolutely no handles, looks like bowl, open, one color","open, same color all around, big, light golden, no handles","open, same color throughout","open, same color throughout"
baskets,25,train,Card5,"very small, no handles, looks like it has red line going across middle of it","has red line going through middle of it, no cover, no handle","patch, red line",red line through middle
baskets,25,train,Card6,green patch,green patch,green patch,green patch
baskets,25,train,Card7,"two little small handles, cover on top of it","two small handles, cover, golden","small handles, cover, big, golden, little small thing in middle, little antenna thing","antenna middle, golden throughout, cover, small handles, one at ten, one at four, little thing on top"
baskets,25,train,Card8,"looks like purse, triangular, handle left to right","triangular shaped, with handle","triangular, point facing down",triangular
baskets,25,train,Card9,"handle, cover, ten o' clock to four o' clock","cover, handles are facing from ten o' clock to four o' clock","handle, ten o' clock to four o' clock, cover","ten o' clock to four o' clock, handle, cover"
baskets,25,train,Card10,"handle left to right, cover","handle, left to right, cover, bottom is straight, sides are curved, small","cover, handle, very thin handle, left to right, sides are curved, bottom is straight","sides curved, bottom straight, handle left to right"
baskets,21,test,Card1,"long, rectangle, longest one in the picture, square in shape, one handle in middle","""the first one we had"", long, with handle","rectangular, open, one handle","really long, open, looks rectangular, one handle in middle"
baskets,21,test,Card2,"very small, pyramidal shape, really big, circular looking handle, longest base from basket to handle","red lining, really big circular handle, one handle only","really big handle, red stitching along it","really long, big handle, round, red weaving"
baskets,21,test,Card3,"criss-crossing weaves, most open space in between each, circular handle","really wide cross-stitched, round handle","stitched, wide spaces in between","wide crosses, handle, a lot of space between the crosses"
baskets,21,test,Card4,"one of the biggest baskets in the picture, really stitched closely, crossing is really close, oval shaped, round shaped, no handles, very circular, very big, deep","open, very tightly stitched, no cover, no handles","open, stitched really tightly together, no handles, no cover","really big, without top, close stitching"
baskets,21,test,Card5,red ribbon around,red ribbon,"red ribbon, open, no handle","red ribbon, no top, no handle"
baskets,21,test,Card6,green lining in back,green lining in back,green lining on back,green lining
baskets,21,test,Card7,"cover, two handles on side, golden","two handles on each side, top, really golden looking","golden, top, two handles on sides","top, two handles on side, very golden looking"
baskets,21,test,Card8,heart shape purse looking thing,heart shaped,heart shaped,heart shape
baskets,21,test,Card9,"round bucket, cover, squarish handle","smaller, rounder, cover, looks like number five, one handle, square handle, round bucket","shorter version of number two, square handle","shorter version, square handle, top, rounder, perfect circle"
baskets,21,test,Card10,"long, vertical, one handle, cover, deep","last one we just had, really long, cover, only one handle","very deep, handle, cover","really long, deep, cover, one handle"
baskets,31,train,Card1,"long and rectangular, big rectangle","big rectangle, square-ish rectangle","big box, rectangle, with no cover, big long rectangle",big square
baskets,31,train,Card2,"small, with really big handle, really big top",really big handle,with really big handle,with big handle
baskets,31,train,Card3,"squiggly weaved, squiggly weave, round","round, squiggly weave, with handle",squiggly weave,squiggly weave
baskets,31,train,Card4,"doesn't have handle, big bowl, big round bowl","round, big, without anything, just open","big, open, round, with no cover, no handle",completely round without cover
baskets,31,train,Card5,"red ribbon, square-ish but round on top",weaved with red ribbon,red ribbon,with red ribbon
baskets,31,train,Card6,"golden color, you could see green in it",gold with green in back,with green in back,with green background
baskets,31,train,Card7,"has cover, gold, doesn't have handle, cover with little knob in middle","golden with little knob in middle, with cover",knob with cover,"with knob, cover with knob"
baskets,31,train,Card8,triangle bottom,triangle bottom,triangle bottom,with triangle bottom
baskets,31,train,Card9,"cover plus has handle, round on bottom",round bottom and cover and handle,round with cover and handle,very round
baskets,31,train,Card10,with square bottom,"golden with lid on top, with handle, squarer bottom, with square bottom","square bottom with cover, taller than other one, has handle","rounder bottom, taller"
baskets,28,train,Card1,"really long, medium brown color, handle","long, handle, blue and white","really long, handle",bottom right
baskets,28,train,Card2,"shorter, with thick handle, more like a box","really weird looking, small, brown, with a whole bunch a different colors","weird looking one with all the colors, small with big handle","really small, with bigger handle, different colors"
baskets,28,train,Card3,weird design,"circle, small, handle, pretty designs","handle, designs","handle, designs"
baskets,28,train,Card4,circle without a handle,just round with no lid on it,"open circled, large, no green","just open, no lid"
baskets,28,train,Card5,"all holes and pretty designs it, with a pink string going through it",pink string running through it,"no handle, pink string running through it",pink string running through it
baskets,28,train,Card6,"no handle, really light shade of brown, designs in it, with holes, no lid, green","green, no handle",green,"green line running through it, no lid"
baskets,28,train,Card7,"lid, without the handles, bigger",circle with two little handles on outside,"two little handles on side with lid, pretty round",circle with lid and really small handles
baskets,28,train,Card8,triangle,triangle,triangular,triangular
baskets,28,train,Card9,circle with lid and handle,square handle,round with a lid and a square-ish handle,circular with a lid and a square-ish handle
baskets,28,train,Card10,the one you just picked up,"top handle, brown, longer than that","taller, with square handle and lid","tall, handle, lid"
baskets,43,test,Card1,"wide, long, handle right in middle, narrow","narrow, long, handle, no cover","long, narrow, with handle, no cover","long, narrow, small, short, handle right in middle, on right hand corner it has like somebody bit off of it"
baskets,43,test,Card2,"small, big handle for its size, dark orange with a bit of pink and green, darkish green on handle in background",small figure with big handle for its size with small red ribbons going around it,"small, big handle, little ribbons going around it, red","big handle, small, red ribbons going across from it, bit of green"
baskets,43,test,Card3,"a bit wider, round, shorter handle, no cover, big holes, you can see through it, they are in the form of ovals and knotted together, light brownish thing, the bottom to it has dark spots","oval, you can see through it, handle, black spots on bottom","small, handle, you can see right through it, dark spots on bottom","oval, small, handle, you could see through it, darkish spots on bottom"
baskets,43,test,Card4,"wide, big opening, no handle, no cover","wide, oval, big, no cover, no handles","big, wide, oval, no cover, no handles","big, wide, brownish, no cover, no handles"
baskets,43,test,Card5,"small, pink ribbon going around it, openings, clear, you can see right through it, no handles","small, with red ribbon going around it, clear","small, red ribbon going through it, clear, that you could see right through it, no cover","small, red ribbon going across from it, you could see through it"
baskets,43,test,Card6,"light orange, yellowish, green little triangles like figures","orange-yellowish, triangle figures with green, no cover","oval, light orange yellowish, triangle figures with green","wide, oval, triangle figures, green"
baskets,43,test,Card7,"cover, wide, big, handles, cover has this little head thing, handles are on side on end, cover has this little top to it","wide, oval, cover with handles, cover has this top figure","big, oval with handles, cover, head on cover","big, oval, cover, handles, cover has something on top"
baskets,43,test,Card8,"triangle, pointing downwards, with handle",triangle with point downwards,"triangle with point downward, handle",triangle looking downward with handle
baskets,43,test,Card9,"oval shaped, circle, cover, handle that's half a rectangle, short","small, cover, wide, handle with half rectangle figure","small, short, with little cover, handle is half rectangular shape","small, short, with cover, half rectangular handle"
baskets,43,test,Card10,"long with cover, taller","long, cover, handle with half","long with cover, handle that's half","long, cover and half rectangular"
baskets,34,test,Card1,"rectangular shape, long, longest with handle","rectangular, longest with handle","rectangular shaped, with handle to it",rectangular shaped
baskets,34,test,Card2,"colorful, little bit of green, reddish and brown in it, with handle, green in background","colorful, with handle, small, green outline in back",has green background,"basket with handle, green on back- ground"
baskets,34,test,Card3,"has handle, looks like it's criss-crossin', overlappin', circle, has no tops, round, all brown like straw, oval","with handle, criss-cross, forms a X, not colorful, all brown lookin', only one without all those colors in there, shaped like a oval, you could put eggs in there","intertwines, forms X's, has a handle to it","forms X's, with handle"
baskets,34,test,Card4,"oval shape, big, has no handle, brown","large, brown, shaped in a oval","round, with no top to it, no handle, brown",brownish basket by itself with no handle
baskets,34,test,Card5,red string around,"small, with red, looks like string around",red string around,red tape around
baskets,34,test,Card6,"goldish colored, green background in back, no cover","light goldish color with green background, no handle",little green background,other goldish color with green background
baskets,34,test,Card7,"same color as the one previously, top","golden colored like the other one, light color, with top","top, goldish color, with no handle","top, goldish color"
baskets,34,test,Card8,"looks like a purse, shape of a diamond, v-shaped","shaped in a V, handle, colorful","v-shaped, looks like it has red in there","v-shaped, with handle"
baskets,34,test,Card9,"handle, made like a pot, short, little, goldish, top","small, with top, gold, handle","short, with top and handle","short, with handle and top"
baskets,34,test,Card10,"tall, with top","tall, with top","tall, with top and handle",with handle
baskets,24,test,Card1,"first basket is longer than the rest, shaped in a rectangle, top of it circular, one handle, long","really wide, with no lid and handle, looks beat up, looks like someone took a bite out of right side","really wide, looks like baby bath, bite mark in side of it",looks like bathtub with bite out of side of it
baskets,24,test,Card2,"not wide, really big handle, really high handle, woven together really tightly, green in handle, no lid, brown woven stuff, then red woven into it","really high handle, short, with red weaving through it","really high handle, short, red and green woven into it","really high handle, really small, with red"
baskets,24,test,Card3,"handle, spaces in between weavings, wide, not tight, looks like black thing inside of it","large holes in top of it, short, handle, you can stick your finger through one of the holes in top, in weavings, darker in its color","medium sized handle, holes in top where you could stick your finger through, medium sized basket, flat bottom, black inside","black base, holes in top with medium size handle"
baskets,24,test,Card4,"no handle, very wide, it can probably hold a lot of things, woven tightly, border around top of it, got an edge to it, no design, you couldn't stick your finger through one of the weavings","wide, no handle, no lid","wide, deep, no handle, no lid, tight weaving","big, wide, no handle, no lid, tight weaving"
baskets,24,test,Card5,"short, with no handle, red ribbon tied through it, woven through top","short, no handle, no lid, red ribbon through it","short, you could stick your finger through holes in it, got red ribbon","short, holes in top, red ribbon through top"
baskets,24,test,Card6,"looks Mexican in its design, very tightly woven, but there's a hole right between top and bottom, right in center, where's there's zig-zag, green to backing, triangular, looks like salsa dish",looks like salsa dish,salsa dish,looks like salsa dish
baskets,24,test,Card7,"really big, biggest one with lid, little knobby thing on top","really big, lid, two short handles on either side, little knob on top","really big, with small handles on sides, little knob on top","big, deep, with short handles and knob on top"
baskets,24,test,Card8,"looks like purse, bottom shaped like triangle, handle",looks like purse,purse,purse
baskets,24,test,Card9,"handle, wider than other one with flat lid, more round, shorter","square handle on top, round base, round lid, really tightly woven","there's no holes in weaving, you could stick your finger through holes in it, red ribbon","round bottom, flat lid, square handle"
baskets,24,test,Card10,"taller, with lid","handle, lid, pretty deep","deep, lid, handle, almost square, weavings are really tight on bottom","big, deep, square handle, lid, tight weaving"
baskets,18,train,Card1,"extremely wide, woven","elongated in diameter, woven with handle, extremely wide","handle, elongated in diameter","elongated in diameter, handle"
baskets,18,train,Card2,handle is elongated in height,"handle, red designs, resembles Easter basket","resembles Easter basket, handle is high",Easter basket
baskets,18,train,Card3,"container part is medium height, round in shape, design on container","round in shape, with designs, woven, medium height, has a handle","handle, medium in size, woven, with designs","woven, designs"
baskets,18,train,Card4,"does not contain a handle, wide, woven, elongated in diameter","does not contain a handle, elongated in diameter","does not contain a handle, elongated in diameter","elongated in diameter, no handle, brown, darkest"
baskets,18,train,Card5,"does not contain a handle, medium sized, red ribbon across container","does not contain a handle, red ribbon across","does not contain a handle, red ribbon",red ribbon
baskets,18,train,Card6,"yellow, with green pattern in background","yellow, does not contain a handle, green background","yellow, with green background","no lid, green background"
baskets,18,train,Card7,"yellow, with lid, two handles at sides","yellow, with lid, two tiny handles across from each other","yellow, with lid, two handles on sides, opposite of each other","yellow, with lid, two handles"
baskets,18,train,Card8,"resembles a pocketbook, handle, woven, red and green patterns","pocketbook with handle, woven, with green and red patterns, in front, with also yellow patterns, v-shaped","pocketbook with handle, red and green","pocketbook, green and red"
baskets,18,train,Card9,"handle, round in shape, diameter seems as though it's equivalent in circumference","lid, handle, yellow in color","round, with lid and handle","elongated in diameter, lid and handle"
baskets,18,train,Card10,"handle, elongated in height, lid","yellow in color, handle, lid, elongated in height","handle, elongated in height, lid","elongated in height, lid, handle"
dogs,45,test,Card1,"standing (on) four legs, in middle it's black, facing left, long tail, paws lightish brown, back it's yellow, ears black towards tip","black stomach and back and legs, goldish legs, tail is long, blackish tip on tail","standing up with long tail, blackish stomach and back","standing up, yellowish type dog, with black stomach and back"
dogs,45,test,Card2,"furry, looking towards back, one of its leg is standing out, turning around a little bit, yellow, middle it's black","tiny fur, one leg is extended out and it's looking back","small furry, one leg sticking out",one leg extended out
dogs,45,test,Card3,"light beige, standing on grass, sitting, has a leash, looking back, tail sticking out on grass",sitting on grass and it's looking back and has leash,"sitting, looking back on grass, tail on grass, long","sitting down, sitting on grass, tail on grass"
dogs,45,test,Card4,"dark dark brown, skinny, not a poodle, you can only see three of its legs, really tiny , mouth part sticking out, light more towards head, nose blackish, ears lighter than whole body, almost black, no collar, short, not furry, hotdogs",hotdog,hotdog,hotdog
dogs,45,test,Card5,"poodle with collar, silver type thing, small circle",poodle with circle leash,poodle with round leash,poodle with collar
dogs,45,test,Card6,"German shepherd, black, nose part is goldish brown, paws goldish brown, standing on grass","German shepherd, standing on grass , little bit on mouth part is goldish, really black",German shepherd,German shepherd
dogs,45,test,Card7,"Golden retriever, laying down on grass, stomach area on back is darker brown, legs and head is goldish, nose black","Golden retriever, laying on the ground","laying down, Golden retriever","Golden retriever that's laying down, with curly ears, long floppy ears"
dogs,45,test,Card8,"goldish, mouth and nose part is black","black nose and mouth, rest of body is goldish, legs are extended out","black on mouth, two legs extending out, goldish, small tail","two legs extending out, goldish with black nose and mouth part"
dogs,45,test,Card9,"wolf, white, blackish on back, tongue hanging out","white, wolf","white, wolf",white
dogs,45,test,Card10,"furry, hair coming down on mouth and stuff, black","sitting down, really furry, hair hanging out, tail sticking up, black, sitting on grass","fur hanging out of mouth, and sitting on grass with tail sticking up",hair hanging out of mouth and tail sticking up
dogs,35,test,Card1,"two colors, gold and black, pattern, you can can see side of dog, it's facing side, black pattern on back which rolls down stomach, ears in the middle of its neck, one of its teeth is sticking out of its mouth, leaning on two forward legs, two back legs, and sort of on toes a little bit, back leg is facing the left leg, sharp tooth on left side of face sort of sticking out, standing on all four, you could see its left side of the body, black spot on the middle, roundish, covering the stomach","that dog with the tooth in front of it coming out of its mouth, with black spot",tooth sticking out of mouth,tooth sticking out of mouth
dogs,35,test,Card2,"curly sheep hair, facing you, goldish, a little bit of black, head is tilted towards right, you can only see its left ear, sort of bent, sort of folds in, makes a shape of an L, standing on yellow grass, half of black, half yellow background","black and golden background, black on top, golden on bottom, golden hair, black back, ears folds in the shape of an L, upside down L, yellow, little bit black fur on back, half black, half yellow background","half black, half yellow, black on top, yellow on bottom background","half yellow, half black"
dogs,35,test,Card3,"it's got hair but not long, grayish color, leash hanging, somebody pulling the leash, or leash is tied down to something, brown color, tail is laying out behind it, sitting down on its back two legs, two front legs are standing up, green grass","leash tied to ground, tail is laying down on the grass, green grass behind it, all brown, facing in front of you, but you could see head is tilted to side","sitting down on green grass, tail lying out behind it,","tail laying on back, sitting on grass"
dogs,35,test,Card4,"smaller, short feet, long body, black, curly hair, you can't see its tail, short legs, long stomach, like a sausage, no background","short legs, long body, larger distance between its front legs and back legs, compared to his legs and his head, long, no background at all","short, black, fuzzy hair, short legs, long body","short legs, long body"
dogs,35,test,Card5,"yellow background, leash with coin, or maybe dog tag, round, circle, black fluffy hair, big ears, sheep dog, background's goldish, face is facing you but a bit to right, round circle metallic dog tag","collar, round metallic dog tag",metallic round circle dog tag on leash,metal round dog tag
dogs,35,test,Card6,"hound dog, no hair, black, very muscular, standing on side, little bit of brownish on mouth and muzzle, green background type thing","muscular, black hair, just standing there, on all four legs, little brown by muzzle, by its mouth, very short hair, brown on its front left paw and mouth","muscular, black, standing up","muscular, black, standing up straight"
dogs,35,test,Card7,"more hair, brown, from the stomach you can see the hair sort of like growing out, on the stomach and legs it grows longer, ears falling down from its head, face is up a little bit in the air","long hair from the stomach and legs, ears falling off, golden brown color",ears falling down,ears falling off
dogs,35,test,Card8,"muscular, brown color, golden, ears facing up, short tail, bulldog, standing on two front legs, two back legs seem to be in running position","muscular, gold, standing on front two legs, act like in a running position","muscular, golden, leaning on front two legs, running in back legs","muscular, leaning on two front legs, gold, brown hair, running"
dogs,35,test,Card9,"husky, white hair in front, tongue sticking out, black hair on back, on green back- ground","husky, white fur, tongue sticking out, black on back, on green grass, white hair on stomach and legs, gets darker as you go higher, striped with white","husky, white hair, tongue sticking out","husky, tongue coming out of mouth"
dogs,35,test,Card10,"black, lying down, tail back up straight in air","tail pointed straight up in air, lying down in grass","tail pointing out in air, straight up, lying down in grass","tail sticking up in air, lying down"
dogs,42,train,Card1,"bloodhound, black at center of body, end's light brown","bloodhound, facin' to left, black body","bloodhound with black body, black center",bloodhound with black body
dogs,42,train,Card2,"terrier, head turned to left, looks stupid, light brown, tan, ears is shorter, snout long , standing up, little bit of black in middle of body","terrier, standin' up, head is just turned","terrier, tan lookin', head turned","terrier, with head to side"
dogs,42,train,Card3,"sittin' down, light brown, long ears, head is turn--.","long nose, light brown, tan, long ears, looking to left, sittin' down","tan, head turned, long tail","tan, with head to side"
dogs,42,train,Card4,"short, chocolatey",long hotdog lookin' black dog,"hotdog, black",black hotdog
dogs,42,train,Card5,black poodle,black poodle,black poodle,black poodle
dogs,42,train,Card6,Doberman pinscher,Doberman pinscher,Doberman,Doberman
dogs,42,train,Card7,"cocker spaniel, long ears, look girly","cocker spaniel, girly dog, feminine dog with long ears","cocker spaniel, girly looking","cocker spaniel, girly dog"
dogs,42,train,Card8,"boxer, mean, ears similar to Doberman pinscher's but tan, looks muscular, short snout","boxer, light brown, looks strong with black nose","boxer, muscular","muscular boxer, defense dog"
dogs,42,train,Card9,wolf,wolf,wolf,wolf
dogs,42,train,Card10,"Scottish terrier, black, short",black terrier looking,"Scottish terrier, black",black terrier
dogs,12,train,Card1,"darker, center","black, stomach, yellowish","very first, black mouth",very first
dogs,12,train,Card2,"really, curly, tall","yellowish, looking left, curly hair","taller, curly hair, looking left","tall, curlier, looking left"
dogs,12,train,Card3,looking left,looking left,"looking left, green, little bit","looking left, little bit green"
dogs,12,train,Card4,"little hotdog, small","hotdog, short",hotdog,hotdog
dogs,12,train,Card5,poodle,"poodle, black","black poodle, smaller, hotdog","poodle, black"
dogs,12,train,Card6,"Great Dane, tall","Great Dane, tall, black","tall, Great Dane, black","Great Dane, black"
dogs,12,train,Card7,"really, long tail, long ears, one back leg sticking down","long ear, leg standing down","long ear, looking left","long ear, looking left, leg drooping down"
dogs,12,train,Card8,pitbull,"pitbull, yellowish",pitbull,pitbull
dogs,12,train,Card9,husky,husky,husky,husky
dogs,12,train,Card10,"S c o t t i s h ,   b l a c k","b l a c k ,   s i t t i n g   d o w n ,   S c o t t i s h",""" t h a t   o n e ' s   a c t u a l l y   n u m b e r   t w o """,l i t t l e   b l a c k   S c o t t i s h
dogs,29,train,Card1,a lot of black on it,brown with some black in middle of body,"bottom row, one on left",one on the bottom on right hand side
dogs,29,train,Card2,looks like it's hunched back,your left hand on the top row,"middle row, second card to the left","""Could I see number eight again? Actually--. Oh that's number nine."""
dogs,29,train,Card3,beige,"looks like it's looking back, yellowish color","the one in the bottom row, middle card",the one in the middle to the left
dogs,29,train,Card4,really brown,looks like a black hotdog,looks like a black hotdog,black hotdog
dogs,29,train,Card5,poodle,poodle,black poodle,black poodle
dogs,29,train,Card6,"top row, second to the right",mostly black,the one all the way to the right on bottom row,black
dogs,29,train,Card7,"top row, first one",golden retriever,golden retriever,golden retriever
dogs,29,train,Card8,bulldog,bulldog,bottom left hand corner,"bulldog, yellowish color, really really tiny tail"
dogs,29,train,Card9,white,"white with some black on it, husky",husky,white husky
dogs,29,train,Card10,"top row, first one on left","second row, last one on right","black, looks like a poodle, small, terrier",left hand corner
dogs,38,train,Card1,"black at bottom, tail pointing to floor",tail pointed to floor,"tail pointin' towards ground, black tail","black tail, pointin'"
dogs,38,train,Card2,"fur, brown","body going right, head turned left",you can't see its tail,you can't see its tail
dogs,38,train,Card3,"light light brown color, head is turning, skinny","head turning to left, has chain","head turned towards left, pointy tail","brownish, whitish, something around its neck, pointy tail"
dogs,38,train,Card4,"really short, black, sausage, hotdog, long","really short, long, black",really short and long and black,"black, short and long"
dogs,38,train,Card5,"something around its neck, fur, black, cute","chain around its neck, little high top black, cute","cute, with chain around its neck","pretty, with chain around its neck, black"
dogs,38,train,Card6,"really mean lookin', black, pitbull, security dog","mean looking, really black, security",security dog,security dog
dogs,38,train,Card7,"really pretty, brownish, lookin' up, look like it's on grass","pretty, brownish, sittin' on grass, lookin' up","pretty, head looking towards left side and its foot's left side, green grass","pretty with pretty fur, brown"
dogs,38,train,Card8,"mean looking, chain around its neck","mean looking, not security one, brown","mean looking, brown, with chain on neck","mean, with chain around its neck, brown"
dogs,38,train,Card9,"white, wolf, tongue stickin' out","wolf, tongue is sticking out",wolf,wolf
dogs,38,train,Card10,"short and black, face on left hand side","sitting on grass, head towards left side, tail is sticking up, black","black, short tail, going up","sitting on floor, tail is sticking up at back, black"
dogs,32,train,Card1,"brown, with black in back","brown, with black back in middle",brown with black back,"black, brown"
dogs,32,train,Card2,"light brown, standing on three feet, turned in funny position",in funny position,in funny position,in funny position
dogs,32,train,Card3,beige with green background,beige,beige,beige
dogs,32,train,Card4,"dark brown, small, hotdog",black,"hotdog, black",hotdog
dogs,32,train,Card5,"poodle, black",poodle,poodle,poodle
dogs,32,train,Card6,"black, shiny fur",black with shiny fur,black with shiny fur,black with shiny fur
dogs,32,train,Card7,"golden retriever, brown",golden retriever,golden retriever,golden retriever
dogs,32,train,Card8,"I don't know if it's a bulldog, brown",on your left upper corner,bulldog,bulldog
dogs,32,train,Card9,wolf,wolf,wolf,wolf
dogs,32,train,Card10,black,black,"small, black","all the way on right--left hand corner, second row"
dogs,13,train,Card1,"standing on all fours, tan, black, black belly, black in middle","black, black tummy, tan all over, standing on all fours","black in middle of stomach, on all fours, facing left","on all fours, black in stomach"
dogs,13,train,Card2,"sheepy, wooly fur, standing on all fours, facing the way, tannish, facing us, head turned","weird looking, that we didn't get last time","weird, we can never get","freaky looking, we can never get"
dogs,13,train,Card3,"golden retriever, sitting down on back two legs, looking left","golden retriever, sitting on back two legs","golden retriever, on back two legs",looks like golden retriever
dogs,13,train,Card4,little black hotdog,"hotdog, little, black",tiny little hotdog,tiny hotdog
dogs,13,train,Card5,"poodle, little brown, black, collar","poodle, black",little black poodle,little black poodle
dogs,13,train,Card6,"black, Rotweiler","black, Rotweiler",black Rotweiler,black Rotweiler
dogs,13,train,Card7,cocker spaniel,cocker spaniel,cocker spaniel,cocker spaniel
dogs,13,train,Card8,"bulldogs, black face, all tan",bulldog with black nose,bulldog with black nose,bulldog with black nose
dogs,13,train,Card9,"wolf, white","white, wolfish",white wolf,white wolf
dogs,13,train,Card10,"little, Scottie",Lady and the Tramp,"little, Scottie, Lady and the Tramp","black, Lady and the Tramp"
dogs,17,train,Card1,"big, brown, black, can see tail, face going to left, pointing to left","lot of black on back, ears pointing down, brown on legs","entire body pointing to left, brown, back is black","pointing to left, black back, rest is brown"
dogs,17,train,Card2,"brown, black, can see one flap, with ear, facing towards you, but turned to left","body pointing to right, head pointing to left","pointing to right, head looking to left",furry
dogs,17,train,Card3,"sitting down, collar, on green grass, light, tannish color, butt is on ground, tail laying on ground","sitting down, collar, body pointing to right, head pointing to left",sitting down,"pointing to right, face looking to left"
dogs,17,train,Card4,"small, dark brown, facing towards right, more diagonal set",hotdog,hotdog,hotdog
dogs,17,train,Card5,"poodle, collar, little circular thing in middle, pointing to right, but looking to left, black",poodle,poodle,poodle
dogs,17,train,Card6,"skinny, Doberman pincher, with chains","skinny, all black except little patch on nose, pointing other direction, tall, Doberman, no chains","skinny, shiny coat, black","black, shiny coat, skinny"
dogs,17,train,Card7,"furry, brown, pointing to left, small, lighter","brown, long droopy ears, whole entire body pointing to left","entire body pointing to left, very droopy ears, brown","droopy ears, pointing to left, brown"
dogs,17,train,Card8,"black mouth, face and eyes, but rest is brownish, yellowish, collar, pointing to left, ears sticking up","black face, light in color, has a chain, only things that are really dark are mouth area with eyes and ears, ears pointing up, looking to left","brown, all pointing to left, but black face, jumping","looks like it's about to jump, brown coat with black face"
dogs,17,train,Card9,"white, wolf",wolf,wolf,wolf
dogs,17,train,Card10,"black, really hairy, pointing to left","very hairy, small","that other black dog that's very furry, pointing to left","black, small, very furry, pointing to left, tail sticking straight up"
dogs,44,train,Card1,"looking off to left with tail down, got his legs far apart, yellow on black body","looking in same direction, black body with orangish yellowish paws","standing on all fours, black body and orangish legs","on all fours, with black body"
dogs,44,train,Card2,"goldish, body's facing one direction, head is looking back off in other direction, standing on all fours, body facing opposite direction, looking straight ahead, not like up, legs are far apart","up on all fours, with gold legs, tall, legs are far apart","up on all fours, has gold legs, looking back","up on all fours, golden legs"
dogs,44,train,Card3,"same type position, sitting, brownish gold","sitting, goldish yellowish","sitting down, goldish brown",lightish beige
dogs,44,train,Card4,foot long hotdog,black foot long,hotdog,hotdog
dogs,44,train,Card5,black poodle,black poodle,"black poodle up on all fours, shaggy ears",black poodle up on all fours
dogs,44,train,Card6,"looks like German shepherd, all black but with beigish nose, on all fours","looking in same direction, all black, outlined in yellow, but mainly black","Saint Bernard, blackish, up on all fours",like a Doberman
dogs,44,train,Card7,"smaller, lookin' in same direction, but little gentler dog","up on all fours, you can see whole thing, blackish body with goldish paws, paws are spread out","up on all fours, golden legs, darker body, goldish",almost in same position but little bit darker color
dogs,44,train,Card8,"gold, looking in same direction, on all fours, stubby tail","up on all fours, like about to attack, really goldish","really gold, standing like same position, on all fours with black legs stretched out","real gold, up on all fours, with black legs stretched out"
dogs,44,train,Card9,husky with white and blackish,husky looking like straight at you,husky,husky
dogs,44,train,Card10,"black small, looking off in same direction","black on all fours, you can barely see legs, looking in other direction","looking in opposite direction, you can barely see legs, blackish","black up on all fours, you can barely see legs"
dogs,30,train,Card1,"brown and black, standing up, profile shot, long tail","top row, third one from right",bloodhound,bloodhound
dogs,30,train,Card2,"top row, third one to right",the one that you thought was a cocker,Schnauzer,Schnauzer
dogs,30,train,Card3,looks like a Labrador,Labrador,Labrador,Labrador
dogs,30,train,Card4,Dachshund,"Dachshund, hotdog","Dachshund, hotdog",Dachshund
dogs,30,train,Card5,"poodle, black",poodle,poodle,poodle
dogs,30,train,Card6,Doberman,Doberman,Doberman,Doberman
dogs,30,train,Card7,cocker spaniel,cocker spaniel,cocker spaniel,cocker spaniel
dogs,30,train,Card8,"bulldog, pitbull, boxer",boxer,boxer,boxer
dogs,30,train,Card9,"Alaskan husky, wolf looking thing","wolf looking, wolf beast",wolf like thing,wolf like thing
dogs,30,train,Card10,Scottish terrier,Sottish terrier,"Scottish terrier, Scottie",Scottish terrier
dogs,39,train,Card1,"standing up, head facing towards left, big black spot in middle of body, brown, Spot",Spot,Spot,Spot
dogs,39,train,Card2,"looks like a poodle, but little head is turned to side and ears folded over, not a poodle, but whitish, facing forward, black part lying on top","scruffy looking, black thing on top, black outline on top",black on top,"black on top, in background"
dogs,39,train,Card3,"green outline around it, tan, some grass around him, sitting with face pointing to left","tan dog that's sitting, head turned other way from which way he is sitting , green outline","grass around him who is sitting and facing towards left, with black on top","sitting on grass with little head pointed , green around him"
dogs,39,train,Card4,little black thing that looks like a dachshund,black dachshund thing,little black,dachshund
dogs,39,train,Card5,"little black poodle, with collar","poodle with collar, black",black poodle,poodle
dogs,39,train,Card6,"mean looking, Doberman type thing, black, green around him","sleek, black, other mean dog that has green around him","other mean dog, black and shiny","shiny, black, mean, scary dog"
dogs,39,train,Card7,"fluffy ears, green around him, looking towards left, light brown, dark brown","green outline, tan, fluffy ears, smaller , more fur, facing left","floppy eared with grass around him , facing left side, green around him, standing in grass, face pointed upward , light brown, cocker spaniel",cocker spaniel
dogs,39,train,Card8,"other mean looking dog with black nose, pointy ears, some green around him, standing with back legs pointing outwards , pointing back and to right, boxer",scary junkyard dog with green outline whose feet are pointing back and to right,"garbage junkyard dog with feet pointing outwards, facing left",junkyard dog with pointy ears with feet pointing backwards
dogs,39,train,Card9,"husky, fluffy, sled dog",husky,husky,husky
dogs,39,train,Card10,little black Irish dog,little black Irish doggy,"little black Irish dog, on some grass",little black Irish doggy thing in grass
